Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_target,jitter_percentage
90124447,5,Dandenong,0,0,4.995517618,0.001406296,0.00312852
90124449,10,Dandenong,0,0,9.99617744,0.00093538,-0.003411235
90124459,2,Dandenong,0,0,2.002285497,0.00302059,0.000798396
90124499,1,Dandenong,0,0,1.000306497,0.004540844,0.002338856
90124515,1,Dandenong,0,0,1.003154784,-0.003834733,-0.004842218
90124517,4,Dandenong,0,0,4.002646553,0.002123848,0.002404583
90124561,6,Dandenong,0,0,6.001955109,-0.004575187,-0.004934959
90124565,2,Dandenong,1,50,2.00178612,0.995274537,50.00357386
90124570,1,Dandenong,0,0,0.995722854,0.003989483,-0.002122586
90139416,1,Dandenong,0,0,1.000114522,0.001135723,0.004207857
90140978,1,Dandenong,0,0,0.999476007,-0.001945035,-0.002664569
90144627,5,Dandenong,0,0,4.998672184,-0.00319509,-0.00351563
90144754,1,Dandenong,0,0,1.003013357,-0.000895745,-0.000581652
90145198,1,Dandenong,0,0,1.002640617,0.00211323,-3.31874E-05
90145457,1,Dandenong,0,0,1.001109111,0.004211055,-0.004309758
90145469,5,Dandenong,0,0,5.000083239,-0.002714759,0.000957222
90146286,1,Dandenong,0,0,1.000493147,0.004010319,-0.004557916
90148374,1,Dandenong,0,0,0.997623742,-0.000930836,-0.001635165
90154371,5,Dandenong,0,0,5.000106156,-0.00426353,-0.001053396
90156769,1,Dandenong,0,0,0.996196499,-0.000761266,-0.002653156
90160647,1,Dandenong,0,0,0.99769115,0.000648683,-0.004907613
90160650,3,Dandenong,0,0,2.995538481,0.003187006,-0.00140407
90160968,1,Dandenong,0,0,0.996304397,0.001468177,0.002318759
90162772,1,Dandenong,0,0,0.99533217,0.002784556,0.000827752
90164142,2,Dandenong,0,0,1.998058141,0.004898955,0.000877576
90165844,2,Dandenong,0,0,1.997928604,-0.000904976,-0.002093952
90000541,3,Casey,0,0,3.001501072,0.002597243,0.00202219
90000926,3,Casey,0,0,2.99755239,0.00132599,-0.000105034
90000999,1,Casey,0,0,1.0044094,-0.00192235,-0.004471776
90001660,2,Casey,0,0,2.004372673,-0.000643324,0.004527484
90002776,7,Casey,0,0,7.004380441,-0.002754695,0.00038952
90003149,2,Casey,0,0,1.998159396,0.004400552,0.002733884
90003195,2,Casey,1,50,2.004967221,0.99849841,50.00331372
90003244,4,Casey,0,0,4.004845192,0.00065716,0.003955774
90003309,1,Casey,0,0,0.998585676,-0.001997777,-0.001413525
90004178,1,Casey,0,0,1.003862519,-5.8646E-05,0.004096353
90005028,1,Casey,0,0,0.995176216,0.001481279,0.004505831
90005109,5,Casey,0,0,5.001746436,0.00487517,0.002000378
90005353,1,Casey,0,0,0.999142873,-0.003094259,-0.00403502
90005369,7,Casey,0,0,6.998314362,-0.003301423,-0.004088854
