Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90005035,2,Dandenong,0,0,2.003399926,-0.003638671
90005065,1,Dandenong,0,0,1.004540308,0.004196131
90005204,1,Dandenong,0,0,0.999954478,-0.002983817
90007275,19,Dandenong,0,0,19.00001407,0.00190702
90008672,8,Dandenong,1,12,7.997622545,12.00377073
90012659,1,Dandenong,0,0,0.995731968,0.000446456
90013900,2,Dandenong,0,0,1.999463934,-0.002394914
90015608,6,Dandenong,0,0,5.998394705,-0.004060903
90015746,1,Dandenong,0,0,1.004242638,0.004030376
90016143,6,Dandenong,0,0,5.999953743,0.004493045
90017559,2,Dandenong,0,0,2.001804604,-0.002868563
90018083,3,Dandenong,0,0,3.004693745,0.00419573
90020817,8,Dandenong,0,0,8.002760946,-0.002540022
90021003,4,Dandenong,1,25,3.999684239,24.99707817
90022335,1,Dandenong,0,0,0.995852704,-0.000558758
90023171,1,Dandenong,0,0,0.995750278,-0.001971067
90024223,9,Dandenong,0,0,9.002895317,0.002522884
90025465,1,Dandenong,0,0,1.003496492,0.004621212
90025727,3,Dandenong,0,0,2.999904601,0.001738736
90028087,2,Dandenong,0,0,1.998570429,0.003361912
90028254,6,Dandenong,0,0,5.996515552,-0.004457308
90029255,7,Dandenong,1,14,7.000591553,14.00062458
90029388,3,Dandenong,0,0,3.002806169,-0.001329433
90030552,3,Dandenong,0,0,2.996323011,0.004585231
90033366,4,Dandenong,1,25,3.996214357,25.00422191
90033661,4,Dandenong,0,0,4.00134196,-0.000610971
90033774,4,Dandenong,0,0,4.001726569,-0.001594212
90034329,2,Dandenong,0,0,1.995894801,-0.001360332
90035880,3,Dandenong,0,0,3.003318908,0.003433575
90035983,14,Dandenong,1,7,13.99540902,6.99636906
90037850,2,Dandenong,0,0,1.999200422,-0.003374529
90039000,5,Dandenong,0,0,4.995288284,0.00113723
90039551,2,Dandenong,0,0,2.004904325,0.00315807
90040184,2,Dandenong,0,0,2.003782545,0.000407599
90040773,5,Dandenong,1,20,4.995708138,19.99857202
90043890,1,Dandenong,0,0,1.004357948,0.002003303
90044868,5,Dandenong,0,0,5.001412677,-0.004686751
90047010,6,Dandenong,0,0,6.003617201,0.001944078
